2026-06-28 18:42:38 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-28 18:42:41 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-28 18:42:41 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-28 18:42:42 [main] DEBUG p.e.p.z.s.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2026-06-28 18:42:42 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2026-06-28 18:42:43 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-28 18:42:43 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@218c6d3e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@63f819a6, org.springframework.security.web.context.SecurityContextHolderFilter@14ecd835, org.springframework.security.web.header.HeaderWriterFilter@481b8d53, org.springframework.web.filter.CorsFilter@44f5259a, org.springframework.security.web.authentication.logout.LogoutFilter@19983dd1, pl.edu.pbs.zwinnebackend.security.JwtAuthenticationFilter@425a5c2e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1eeb9e5c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3f7aa4f8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e871e93, org.springframework.security.web.session.SessionManagementFilter@2d541e01, org.springframework.security.web.access.ExceptionTranslationFilter@7d6ccad7, org.springframework.security.web.access.intercept.AuthorizationFilter@6f45be6f]
2026-06-28 18:42:43 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-28 18:42:44 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-28 18:42:44 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
